(Time 1942.27 sec;) [14/20,    25/179] loss: 0.480
(Time 1957.81 sec;) [14/20,    50/179] loss: 0.510
(Time 1977.54 sec;) [14/20,    75/179] loss: 0.508
(Time 2001.65 sec;) [14/20,   100/179] loss: 0.530
(Time 2019.60 sec;) [14/20,   125/179] loss: 0.682
(Time 2037.63 sec;) [14/20,   150/179] loss: 0.562
(Time 2055.01 sec;) [14/20,   175/179] loss: 0.507
Epoch 14 stats: Training accuracy: 77.     Test accuracy: 80.
(Time 2087.20 sec;) [15/20,    25/179] loss: 0.495
(Time 2106.53 sec;) [15/20,    50/179] loss: 0.497
(Time 2121.76 sec;) [15/20,    75/179] loss: 0.516
(Time 2138.74 sec;) [15/20,   100/179] loss: 0.517
(Time 2153.34 sec;) [15/20,   125/179] loss: 0.526
(Time 2168.64 sec;) [15/20,   150/179] loss: 0.474
(Time 2183.79 sec;) [15/20,   175/179] loss: 0.628
Epoch 15 stats: Training accuracy: 78.     Test accuracy: 77.
(Time 2209.06 sec;) [16/20,    25/179] loss: 0.457
(Time 2223.55 sec;) [16/20,    50/179] loss: 0.472
(Time 2239.41 sec;) [16/20,    75/179] loss: 0.489
(Time 2254.24 sec;) [16/20,   100/179] loss: 0.562
(Time 2268.07 sec;) [16/20,   125/179] loss: 0.553
(Time 2282.29 sec;) [16/20,   150/179] loss: 0.605
(Time 2297.29 sec;) [16/20,   175/179] loss: 0.543
Epoch 16 stats: Training accuracy: 80.     Test accuracy: 82.
(Time 2321.87 sec;) [17/20,    25/179] loss: 0.514
(Time 2339.20 sec;) [17/20,    50/179] loss: 0.512
(Time 2356.95 sec;) [17/20,    75/179] loss: 0.549
(Time 2374.05 sec;) [17/20,   100/179] loss: 0.553
(Time 2389.86 sec;) [17/20,   125/179] loss: 0.468
(Time 2408.23 sec;) [17/20,   150/179] loss: 0.532
(Time 2424.50 sec;) [17/20,   175/179] loss: 0.456
Epoch 17 stats: Training accuracy: 76.     Test accuracy: 76.
